Arxiv ID, Title, Authors, Type
1403.7525, "The life and death of cosmic voids", Sutter et al., RES
1403.7528, "The distribution of gas in the Local Group from constrained cosmological simulations: the case for Andromeda and the Milky Way galaxies", Nuza et al., RES
1403.8154, "New class of biological detectors for WIMPs", Drukier et al., NEW
1403.8115, "New Dark Matter Detector using Nanoscale Explosives", Lopez et al., NEW
1403.7742, "Natural X-ray Lines from the Low Scale Supersymmetry Breaking", Ko et al., NEW
1404.0811, "A semi-analytic model comparison: testing cooling models against hydrodynamical simulations", Monaco et al., RES
1404.1644, "Gravitational lensing in WDM cosmologies: The cross section for giant arcs", Mahdi et al., RES
1404.1938, "The Local Dark Matter Density", Reed, RES
1404.2241, "The bias of weighted dark matter halos from peak theory", Verde et al., NEW
1404.2186, "How Robust Are the Size Measurements of High-redshift Compact Galaxies?", Davari et al., RES
1404.2591, "Broaden the search for dark matter", Livio and Silk, NEW
1404.2572, "Low-mass right-handed sneutrino dark matter: SuperCDMS and LUX constraints and the Galactic Centre gamma-ray excess", Cerdeno et al., NEW
1404.2280, "The Properties of Cosmic Velocity Fields", Hahn et al., RES
1404.2578, "X-Ray Emission from Star-Forming Galaxies - Signatures of Cosmic Rays and Magnetic Fields", Schober et al., RES
1404.2295, "ALMA resolves turbulent, rotating [CII] emission in a young starburst galaxy at z=4.8", De Breuck et al., RES
1404.2324, "The GENGA Code: Gravitational Encounters in N-body simulations with GPU Acceleration", Grimm and Stadel, RES
1404.2958, "On the use of Lyman-alpha to detect Lyman continuum leaking galaxies", Verhamme et al., RES
1404.2932, "Galactic PeV neutrinos from dark matter annihilation", Zavala, NEW
1404.3084, "Bibliometric Indicators of Young Authors in Astrophysics: Can Later Stars be Predicted?", Havemmann and Larsen, FUN
1404.3729, "3.5 keV X-rays as the '21 cm line' of dark atoms, and a link to light sterile neutrinos", Cline et al, NEW
1404.3813, "Lagrangian Perturbation Theory : Exact One-Loop Power Spectrum in General Dark Energy Models", Lee, NEW
1404.3742, "A 2.5% measurement of the growth rate from small-scale redshift space clustering of SDSS-III CMASS galaxies", Reid et al., NEW
1404.3362, "Beyond the ΛCDM cosmology: complex composition of dark matter", Demianski and Doroshkevich, NEW
1404.4188, "pγ interactions in Galactic jets as a plausible origin of the positron excess", Gupta and Torres, NEW
1404.4194, "Classifying orbits in galaxy models with a prolate or an oblate dark matter halo component", Zotos, RES
1404.1384, "The MUSIC of CLASH: predictions on the concentration-mass relation",  Meneghetti et al., RES
1404.4632, "Line Emitting Galaxies Beyond a Redshift of 7: An Improved Method for Estimating the Evolving Neutrality of the Intergalactic Medium", Schenker et al., RES
1404.4652, "Monte Carlo Radiation Hydrodynamics with Implicit Methods", Roth and Kasen, RES
1404.5175, "Vlasov-Poisson in 1D: waterbags", Colombi and Touma, NEW
1404.4933, "A milliparsec supermassive black hole binary candidate in the galaxy SDSS J120136.02+300305.5", Liu et al., NEW
